,Unnamed: 0,stationId,geometry,x,y,sunJanuary,sunFebruary,sunMarch,sunApril,sunMay,sunJune,sunJuly,sunAugust,sunSeptember,sunOctober,sunNovember,sunDecember,index_right
0,0,6056,POINT (965195.6449230785 7635041.017437874),8.6705,56.383,59.66666666666666,73.60000000000001,106.15,174.20000000000002,216.96666666666667,190.5,173.03333333333333,181.2,155.56666666666666,85.39999999999999,66.46666666666667,42.2,203
1,1,6187,POINT (1402458.604759057 7496672.83876736),12.5985,55.6886,44.675,73.2,111.04999999999998,182.83333333333331,257.8666666666666,221.2333333333333,203.5666666666667,228.6,177.03333333333333,81.19999999999999,63.66666666666666,44.333333333333336,1636
2,2,6126,POINT (1162153.219983618 7422030.030733435),10.4398,55.3088,54.56666666666666,73.2,109.475,190.46666666666667,235.76666666666665,221.4,205.9333333333333,216.16666666666663,167.0,80.10000000000001,66.03333333333333,43.6,1117
3,3,6116,POINT (1015556.582557955 7342211.258615134),9.1229,54.8986,54.73333333333333,70.475,106.525,178.20000000000002,213.66666666666663,190.4,179.6,189.2,150.73333333333332,74.3,60.13333333333333,37.56666666666666,398
4,4,6174,POINT (1352420.49364748 7439006.070649505),12.149,55.3955,46.866666666666674,68.1,104.1,176.93333333333337,251.46666666666667,224.16666666666663,199.7,223.33333333333331,157.86666666666665,70.2,57.06666666666666,41.06666666666667,1548
5,5,6072,POINT (1127354.74716164 7618912.177515287),10.1272,56.3027,53.150000000000006,72.0,103.55,167.43333333333334,226.36666666666665,205.66666666666663,185.46666666666667,202.6,155.79999999999998,81.73333333333333,66.86666666666667,44.96666666666667,946
6,6,6156,POINT (1291695.71141975 7505999.686188746),11.6035,55.7358,51.875,82.625,115.925,198.1,257.8,227.43333333333337,215.96666666666667,217.16666666666663,171.80000000000004,82.56666666666666,68.83333333333333,51.43333333333334,1401
7,7,6188,POINT (1381708.651675191 7533849.635830882),12.4121,55.8764,43.925,68.89999999999999,108.025,180.4333333333333,251.7,210.5333333333333,199.86666666666667,215.33333333333331,172.23333333333335,78.73333333333333,61.93333333333333,44.03333333333333,1615
8,8,6102,POINT (1089506.120291927 7532182.940849009),9.7872,55.868,52.7,67.44999999999999,93.95,156.1,215.26666666666665,198.4666666666667,178.73333333333335,194.8,156.83333333333334,72.39999999999999,61.6,41.9,791
9,9,6135,POINT (1267695.22920472 7424690.48244335),11.3879,55.3224,51.9,69.85000000000001,108.3,191.0333333333333,245.0333333333333,219.6,195.16666666666663,213.3,160.13333333333333,70.93333333333334,56.03333333333333,35.13333333333333,1330
10,10,6068,POINT (1022035.376922124 7577131.244585923),9.1811,56.0939,53.9,72.22500000000001,105.375,171.0666666666667,212.9,184.9333333333333,168.36666666666667,186.0333333333333,148.33333333333334,76.56666666666668,61.96666666666666,41.53333333333333,466
11,11,6031,POINT (1107929.496018214 7798066.530395149),9.9527,57.1852,53.45,80.525,125.25,206.5666666666667,229.9,217.13333333333333,198.9,202.9,160.70000000000002,97.3,73.3,46.2,867
12,12,6058,POINT (906285.3703952781 7559849.105972727),8.1413,56.0072,54.4,83.2,116.4,190.76666666666665,225.6,211.4,198.3,202.4333333333333,162.5666666666667,85.2,64.13333333333333,44.56666666666666,6
13,13,6132,POINT (1182402.235358914 7524944.937584968),10.6217,55.8315,52.16666666666666,74.94999999999999,118.7,209.80000000000004,270.2333333333333,257.3,242.1,237.73333333333332,190.03333333333333,85.7,62.7,47.16666666666666,1197
14,14,6136,POINT (1261082.8514516 7409854.46224104),11.3285,55.2465,55.3,77.125,113.15,201.0333333333333,250.73333333333332,229.36666666666667,217.76666666666665,229.9,171.9666666666667,80.03333333333335,64.1,40.73333333333333,1329
15,15,6123,POINT (1100749.388862048 7409444.382413397),9.8882,55.2444,57.75,71.72500000000001,108.2,196.86666666666667,233.8,223.0,203.9,217.36666666666665,177.5,83.36666666666666,65.06666666666666,42.5,830
17,17,6141,POINT (1261160.775095155 7328459.098960508),11.3292,54.8275,51.29999999999999,70.5,110.75,199.86666666666667,242.46666666666667,229.73333333333332,206.0666666666667,214.63333333333333,165.83333333333334,77.36666666666667,57.5,35.9,1325
18,18,6065,POINT (1058281.003124414 7710369.238411116),9.5067,56.7558,57.63333333333333,77.02499999999999,106.125,182.5666666666667,222.96666666666667,213.9,182.2,188.76666666666665,155.13333333333333,83.43333333333334,59.43333333333334,44.333333333333336,619
20,20,6019,POINT (961933.9838428355 7745824.718408146),8.6412,56.93,58.93333333333334,75.95,117.125,191.36666666666667,229.1,221.1,194.9,192.8,155.73333333333332,90.23333333333332,63.03333333333333,40.833333333333336,213
21,21,6149,POINT (1329544.338289463 7278605.543416447),11.9435,54.5687,55.125,76.8,120.925,215.4333333333333,256.7,247.4333333333333,225.23333333333332,244.30000000000004,184.36666666666665,96.96666666666664,57.9,45.93333333333334,1481
22,22,6082,POINT (960041.55249935 7550277.927575924),8.6242,55.9591,55.45,70.65,97.675,166.86666666666667,212.5,193.9666666666667,174.4,181.5666666666667,152.1,82.43333333333334,70.63333333333334,42.9,195
23,23,6197,POINT (1680401.109371702 7372683.860272034),15.0953,55.0557,40.766666666666666,76.325,115.25,213.6,292.13333333333327,275.6,256.7333333333333,238.4666666666667,173.26666666666665,73.96666666666667,44.03333333333333,43.96666666666666,1670
24,24,6079,POINT (1281265.07513242 7702474.273453287),11.5098,56.7169,50.0,80.77499999999999,126.55,230.7,264.90000000000003,249.4,244.5666666666667,242.8,187.2,101.43333333333334,65.0,54.86666666666667,1384
25,25,6096,POINT (952883.7092413425 7398906.904379693),8.5599,55.1904,58.6,84.15,121.575,197.83333333333331,228.86666666666667,221.80000000000004,210.13333333333333,215.0333333333333,167.96666666666667,86.46666666666665,68.0,46.333333333333336,140
