,stationId,geometry,x,y,rainJanuary,rainFebruary,rainMarch,rainApril,rainMay,rainJune,rainJuly,rainAugust,rainSeptember,rainOctober,rainNovember,rainDecember
60,05199,POINT (9.329800000000001 56.0761),9.3298,56.0761,102.6,47.6,37.0,,,112.8,94.1,114.4,144.4,132.4,102.2,93.3
61,05160,POINT (10.5466 56.1103),10.5466,56.1103,45.9,19.4,35.7,,,,62.0,61.3,161.4,63.1,44.4,36.3
62,05085,POINT (9.287699999999999 57.0143),9.2877,57.0143,68.9,17.8,36.2,,,111.4,60.6,118.0,50.5,100.6,73.5,65.8
63,05450,POINT (10.7094 54.7567),10.7094,54.7567,71.0,20.3,71.5,,,,82.8,91.7,72.8,98.3,52.6,52.0
64,06031,POINT (9.9527 57.1852),9.9527,57.1852,77.7,25.3,29.5,,,,84.1,140.2,70.3,153.1,73.3,74.2
65,05575,POINT (12.2918 56.0429),12.2918,56.0429,53.9,14.1,50.7,,,,63.0,87.3,93.6,100.5,65.5,64.0
66,06156,POINT (11.6035 55.7358),11.6035,55.7358,60.9,14.3,44.3,,,73.7,100.2,58.8,89.8,64.3,54.3,33.6
67,05440,POINT (10.4249 55.0721),10.4249,55.0721,70.3,26.8,50.5,,,72.1,116.2,100.9,83.6,104.7,68.8,64.4
68,05070,POINT (10.1644 56.7157),10.1644,56.7157,74.2,22.6,32.0,,,146.5,78.4,93.2,81.5,92.4,62.6,70.4
69,05365,POINT (9.4116 54.9316),9.4116,54.9316,109.9,34.9,59.0,,,,64.2,94.6,138.4,130.0,101.5,90.6
70,05165,POINT (10.6185 55.8322),10.6185,55.8322,56.5,19.2,33.6,,,,56.1,67.0,95.9,70.6,59.3,44.1
71,06041,POINT (10.6316 57.7364),10.6316,57.7364,80.2,26.8,30.1,,,,40.7,87.0,64.0,119.8,55.5,87.3
72,05375,POINT (9.68 55.0646),9.68,55.0646,74.2,24.8,51.0,,,123.9,74.5,76.7,104.2,79.6,65.1,49.1
73,05150,POINT (10.4403 56.5062),10.4403,56.5062,78.7,19.2,26.2,,,100.6,88.8,70.6,121.2,77.4,55.7,56.2
74,05042,POINT (10.2232 56.9564),10.2232,56.9564,82.2,20.4,35.1,,,,133.0,105.5,76.6,111.7,54.9,59.3
75,06072,POINT (10.1272 56.3027),10.1272,56.3027,72.3,18.6,32.1,,,107.2,64.8,82.7,90.8,77.0,55.5,49.8
76,05935,POINT (11.8285 55.0987),11.8285,55.0987,75.5,11.8,58.5,,,,77.2,66.8,76.1,97.7,60.2,40.5
77,05205,POINT (9.702199999999999 55.961),9.7022,55.961,83.8,39.0,30.3,,,,75.1,85.2,81.8,109.8,63.5,63.8
78,05510,POINT (11.2383 55.5266),11.2383,55.5266,65.5,23.7,38.8,,,,62.2,85.4,92.3,81.7,49.8,37.4
79,05035,POINT (10.471 57.2215),10.471,57.2215,81.5,20.0,28.7,,,107.4,140.9,106.8,69.2,153.3,59.3,85.6
80,05065,POINT (9.8245 56.814),9.8245,56.814,90.8,32.0,40.3,,,,73.3,123.0,69.7,121.1,81.5,75.7
81,06136,POINT (11.3285 55.2465),11.3285,55.2465,77.1,15.4,49.6,,,95.6,74.2,53.9,84.7,91.4,35.7,42.9
82,05081,POINT (9.4041 56.879),9.4041,56.879,83.8,25.0,32.5,,,,62.1,116.0,64.3,107.9,85.4,80.9
83,05350,POINT (8.832700000000001 55.0562),8.8327,55.0562,97.3,29.8,42.6,,,108.7,84.1,110.4,170.4,118.2,112.5,101.7
84,05406,POINT (10.393 55.5815),10.393,55.5815,53.6,18.8,28.8,,,64.3,56.7,69.3,83.4,55.5,42.5,41.4
85,05290,POINT (8.547599999999999 56.6553),8.5476,56.6553,72.2,23.0,27.2,,,,62.4,107.9,90.7,105.9,90.0,87.2
86,06169,POINT (11.2787 56.0083),11.2787,56.0083,56.9,18.5,40.5,,,69.4,41.7,68.7,73.1,53.3,36.9,44.8
87,06147,POINT (12.1841 54.879),12.1841,54.879,64.9,14.0,49.4,,,83.5,97.0,43.6,57.3,76.4,46.0,24.1
88,05015,POINT (10.2704 57.4029),10.2704,57.4029,90.6,26.2,24.5,,,115.2,89.2,166.0,57.5,146.7,70.9,94.0
89,06174,POINT (12.149 55.3955),12.149,55.3955,63.7,10.8,60.0,,,,82.7,42.7,73.9,70.3,53.9,30.2
90,05345,POINT (8.743600000000001 55.329),8.7436,55.329,111.3,25.0,31.8,,,,93.7,102.4,186.7,125.7,101.8,87.0
91,06102,POINT (9.7872 55.868),9.7872,55.868,72.4,27.9,28.9,,,75.1,55.7,87.7,82.4,89.1,77.4,55.3
92,06058,POINT (8.141299999999999 56.0072),8.1413,56.0072,89.2,26.9,24.6,,,47.5,36.2,79.2,85.6,63.5,65.2,86.2
93,06159,POINT (10.8694 55.7435),10.8694,55.7435,64.6,22.2,44.0,,,69.1,57.2,64.5,72.6,72.8,63.4,48.0
94,06116,POINT (9.1229 54.8986),9.1229,54.8986,107.1,26.7,51.2,,,,53.7,108.0,180.3,143.3,107.9,83.4
95,05220,POINT (9.9962 55.7102),9.9962,55.7102,55.6,29.9,33.7,,,82.7,51.5,98.9,108.1,74.5,57.4,51.8
96,05986,POINT (12.444 54.9963),12.444,54.9963,72.2,13.3,64.4,,,84.2,92.3,63.0,93.1,87.7,50.8,40.4
97,05537,POINT (11.4942 55.6366),11.4942,55.6366,69.8,18.9,40.7,,,66.8,53.4,87.4,140.3,77.4,63.1,45.9
