,Unnamed: 0_x,geometry,index_right_x,Unnamed: 0.1_x,stationId_x,x_x,y_x,minTempJanuary,minTempFebruary,minTempMarch,minTempApril,minTempMay,minTempJune,minTempJuly,minTempAugust,minTempSeptember,minTempOctober,minTempNovember,minTempDecember,Unnamed: 0_y,index_right_y,Unnamed: 0.1_y,stationId_y,x_y,y_y,maxTempJanuary,maxTempFebruary,maxTempMarch,maxTempApril,maxTempMay,maxTempJune,maxTempJuly,maxTempAugust,maxTempSeptember,maxTempOctober,maxTempNovember,maxTempDecember
0,0,"POLYGON ((908433.4348778214 7496684.861747535, 908433.4348778214 7506684.861747535, 898433.4348778214 7506684.861747535, 898433.4348778214 7496684.861747535, 908433.4348778214 7496684.861747535))",14,14,6081,8.0828,55.5575,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5,0,35,35,6081,8.0828,55.5575,8.05,5.85,9.55,12.8,21.8,21.5,22.5,24.2,19.3,16.4,13.3,9.3
1,1,"POLYGON ((908433.4348778214 7686684.861747535, 908433.4348778214 7696684.861747535, 898433.4348778214 7696684.861747535, 898433.4348778214 7686684.861747535, 908433.4348778214 7686684.861747535))",3,3,6052,8.215,56.7068,-4.800000000000001,-6.449999999999999,-5.25,1.8,4.9,10.0,11.9,10.3,8.0,7.2,-0.1,-1.5,1,37,37,6052,8.215,56.7068,8.3,6.3,11.8,12.7,22.3,21.3,23.7,23.3,21.0,17.2,12.8,9.5
2,2,"POLYGON ((928433.4348778214 7746684.861747535, 928433.4348778214 7756684.861747535, 918433.4348778214 7756684.861747535, 918433.4348778214 7746684.861747535, 928433.4348778214 7746684.861747535))",6,6,6019,8.6412,56.93,-5.65,-7.550000000000001,-6.449999999999999,-0.9,2.2,7.4,8.1,8.8,6.7,3.2,-0.9,-2.4,2,20,20,6019,8.6412,56.93,8.5,6.6,12.3,13.4,24.2,22.7,22.1,24.0,20.0,16.4,12.1,10.0
3,4,"POLYGON ((938433.4348778214 7756684.861747535, 938433.4348778214 7766684.861747535, 928433.4348778214 7766684.861747535, 928433.4348778214 7756684.861747535, 938433.4348778214 7756684.861747535))",6,6,6019,8.6412,56.93,-5.65,-7.550000000000001,-6.449999999999999,-0.9,2.2,7.4,8.1,8.8,6.7,3.2,-0.9,-2.4,4,20,20,6019,8.6412,56.93,8.5,6.6,12.3,13.4,24.2,22.7,22.1,24.0,20.0,16.4,12.1,10.0
4,3,"POLYGON ((938433.4348778214 7656684.861747535, 938433.4348778214 7666684.861747535, 928433.4348778214 7666684.861747535, 928433.4348778214 7656684.861747535, 938433.4348778214 7656684.861747535))",34,34,6056,8.6705,56.383,-8.0,-8.25,-6.9,-1.9,2.2,7.4,6.9,7.4,3.8,2.7,-2.5,-6.0,3,2,2,6056,8.6705,56.383,8.65,6.85,13.8,14.7,26.8,24.2,23.6,24.6,21.4,17.6,12.6,9.8
5,5,"POLYGON ((968433.4348778214 7636684.861747535, 968433.4348778214 7646684.861747535, 958433.4348778214 7646684.861747535, 958433.4348778214 7636684.861747535, 968433.4348778214 7636684.861747535))",34,34,6056,8.6705,56.383,-8.0,-8.25,-6.9,-1.9,2.2,7.4,6.9,7.4,3.8,2.7,-2.5,-6.0,5,2,2,6056,8.6705,56.383,8.65,6.85,13.8,14.7,26.8,24.2,23.6,24.6,21.4,17.6,12.6,9.8
6,6,"POLYGON ((1028433.434877821 7736684.861747535, 1028433.434877821 7746684.861747535, 1018433.434877821 7746684.861747535, 1018433.434877821 7736684.861747535, 1028433.434877821 7736684.861747535))",35,35,6065,9.5067,56.7558,-8.5,-9.2,-7.399999999999999,-3.7,-0.1,7.5,6.3,5.7,3.8,-0.4,-3.1,-4.4,6,14,14,6065,9.5067,56.7558,9.1,6.4,13.6,15.5,26.6,24.6,23.9,24.0,19.1,16.6,12.6,10.0
7,11,"POLYGON ((1048433.434877821 7646684.861747535, 1048433.434877821 7656684.861747535, 1038433.434877821 7656684.861747535, 1038433.434877821 7646684.861747535, 1048433.434877821 7646684.861747535))",35,35,6065,9.5067,56.7558,-8.5,-9.2,-7.399999999999999,-3.7,-0.1,7.5,6.3,5.7,3.8,-0.4,-3.1,-4.4,11,14,14,6065,9.5067,56.7558,9.1,6.4,13.6,15.5,26.6,24.6,23.9,24.0,19.1,16.6,12.6,10.0
8,12,"POLYGON ((1058433.434877821 7736684.861747535, 1058433.434877821 7746684.861747535, 1048433.434877821 7746684.861747535, 1048433.434877821 7736684.861747535, 1058433.434877821 7736684.861747535))",35,35,6065,9.5067,56.7558,-8.5,-9.2,-7.399999999999999,-3.7,-0.1,7.5,6.3,5.7,3.8,-0.4,-3.1,-4.4,12,14,14,6065,9.5067,56.7558,9.1,6.4,13.6,15.5,26.6,24.6,23.9,24.0,19.1,16.6,12.6,10.0
9,16,"POLYGON ((1118433.434877821 7726684.861747535, 1118433.434877821 7736684.861747535, 1108433.434877821 7736684.861747535, 1108433.434877821 7726684.861747535, 1118433.434877821 7726684.861747535))",35,35,6065,9.5067,56.7558,-8.5,-9.2,-7.399999999999999,-3.7,-0.1,7.5,6.3,5.7,3.8,-0.4,-3.1,-4.4,16,14,14,6065,9.5067,56.7558,9.1,6.4,13.6,15.5,26.6,24.6,23.9,24.0,19.1,16.6,12.6,10.0
