,geometry,soiltype
43,"POLYGON ((938433.4348778214 7466684.861747535, 938433.4348778214 7476684.861747535, 928433.4348778214 7476684.861747535, 928433.4348778214 7466684.861747535, 938433.4348778214 7466684.861747535))",DSG
44,"POLYGON ((938433.4348778214 7476684.861747535, 938433.4348778214 7486684.861747535, 928433.4348778214 7486684.861747535, 928433.4348778214 7476684.861747535, 938433.4348778214 7476684.861747535))",HV
45,"POLYGON ((938433.4348778214 7486684.861747535, 938433.4348778214 7496684.861747535, 928433.4348778214 7496684.861747535, 928433.4348778214 7486684.861747535, 938433.4348778214 7486684.861747535))",DSG
46,"POLYGON ((938433.4348778214 7496684.861747535, 938433.4348778214 7506684.861747535, 928433.4348778214 7506684.861747535, 928433.4348778214 7496684.861747535, 938433.4348778214 7496684.861747535))",F
47,"POLYGON ((938433.4348778214 7506684.861747535, 938433.4348778214 7516684.861747535, 928433.4348778214 7516684.861747535, 928433.4348778214 7506684.861747535, 938433.4348778214 7506684.861747535))",DSG
48,"POLYGON ((938433.4348778214 7516684.861747535, 938433.4348778214 7526684.861747535, 928433.4348778214 7526684.861747535, 928433.4348778214 7516684.861747535, 938433.4348778214 7516684.861747535))",F
49,"POLYGON ((938433.4348778214 7526684.861747535, 938433.4348778214 7536684.861747535, 928433.4348778214 7536684.861747535, 928433.4348778214 7526684.861747535, 938433.4348778214 7526684.861747535))",DSG
50,"POLYGON ((938433.4348778214 7536684.861747535, 938433.4348778214 7546684.861747535, 928433.4348778214 7546684.861747535, 928433.4348778214 7536684.861747535, 938433.4348778214 7536684.861747535))",HV
51,"POLYGON ((938433.4348778214 7546684.861747535, 938433.4348778214 7556684.861747535, 928433.4348778214 7556684.861747535, 928433.4348778214 7546684.861747535, 938433.4348778214 7546684.861747535))",T
52,"POLYGON ((938433.4348778214 7556684.861747535, 938433.4348778214 7566684.861747535, 928433.4348778214 7566684.861747535, 928433.4348778214 7556684.861747535, 938433.4348778214 7556684.861747535))",DSG
53,"POLYGON ((938433.4348778214 7566684.861747535, 938433.4348778214 7576684.861747535, 928433.4348778214 7576684.861747535, 928433.4348778214 7566684.861747535, 938433.4348778214 7566684.861747535))",DSG
54,"POLYGON ((938433.4348778214 7576684.861747535, 938433.4348778214 7586684.861747535, 928433.4348778214 7586684.861747535, 928433.4348778214 7576684.861747535, 938433.4348778214 7576684.861747535))",DSG
55,"POLYGON ((938433.4348778214 7586684.861747535, 938433.4348778214 7596684.861747535, 928433.4348778214 7596684.861747535, 928433.4348778214 7586684.861747535, 938433.4348778214 7586684.861747535))",ES
56,"POLYGON ((938433.4348778214 7596684.861747535, 938433.4348778214 7606684.861747535, 928433.4348778214 7606684.861747535, 928433.4348778214 7596684.861747535, 938433.4348778214 7596684.861747535))",ES
57,"POLYGON ((938433.4348778214 7606684.861747535, 938433.4348778214 7616684.861747535, 928433.4348778214 7616684.861747535, 928433.4348778214 7606684.861747535, 938433.4348778214 7606684.861747535))",ES
58,"POLYGON ((938433.4348778214 7616684.861747535, 938433.4348778214 7626684.861747535, 928433.4348778214 7626684.861747535, 928433.4348778214 7616684.861747535, 938433.4348778214 7616684.861747535))",DL
59,"POLYGON ((938433.4348778214 7626684.861747535, 938433.4348778214 7636684.861747535, 928433.4348778214 7636684.861747535, 928433.4348778214 7626684.861747535, 938433.4348778214 7626684.861747535))",F
60,"POLYGON ((938433.4348778214 7636684.861747535, 938433.4348778214 7646684.861747535, 928433.4348778214 7646684.861747535, 928433.4348778214 7636684.861747535, 938433.4348778214 7636684.861747535))",T
61,"POLYGON ((938433.4348778214 7646684.861747535, 938433.4348778214 7656684.861747535, 928433.4348778214 7656684.861747535, 928433.4348778214 7646684.861747535, 938433.4348778214 7646684.861747535))",T
62,"POLYGON ((938433.4348778214 7656684.861747535, 938433.4348778214 7666684.861747535, 928433.4348778214 7666684.861747535, 928433.4348778214 7656684.861747535, 938433.4348778214 7656684.861747535))",ML
63,"POLYGON ((938433.4348778214 7666684.861747535, 938433.4348778214 7676684.861747535, 928433.4348778214 7676684.861747535, 928433.4348778214 7666684.861747535, 938433.4348778214 7666684.861747535))",ML
64,"POLYGON ((938433.4348778214 7696684.861747535, 938433.4348778214 7706684.861747535, 928433.4348778214 7706684.861747535, 928433.4348778214 7696684.861747535, 938433.4348778214 7696684.861747535))",ML
65,"POLYGON ((938433.4348778214 7706684.861747535, 938433.4348778214 7716684.861747535, 928433.4348778214 7716684.861747535, 928433.4348778214 7706684.861747535, 938433.4348778214 7706684.861747535))",ML
66,"POLYGON ((938433.4348778214 7716684.861747535, 938433.4348778214 7726684.861747535, 928433.4348778214 7726684.861747535, 928433.4348778214 7716684.861747535, 938433.4348778214 7716684.861747535))",ML
67,"POLYGON ((938433.4348778214 7726684.861747535, 938433.4348778214 7736684.861747535, 928433.4348778214 7736684.861747535, 928433.4348778214 7726684.861747535, 938433.4348778214 7726684.861747535))",ML
68,"POLYGON ((938433.4348778214 7736684.861747535, 938433.4348778214 7746684.861747535, 928433.4348778214 7746684.861747535, 928433.4348778214 7736684.861747535, 938433.4348778214 7736684.861747535))",ES
69,"POLYGON ((938433.4348778214 7746684.861747535, 938433.4348778214 7756684.861747535, 928433.4348778214 7756684.861747535, 928433.4348778214 7746684.861747535, 938433.4348778214 7746684.861747535))",ES
70,"POLYGON ((948433.4348778214 7376684.861747535, 948433.4348778214 7386684.861747535, 938433.4348778214 7386684.861747535, 938433.4348778214 7376684.861747535, 948433.4348778214 7376684.861747535))",HSL
71,"POLYGON ((948433.4348778214 7446684.861747535, 948433.4348778214 7456684.861747535, 938433.4348778214 7456684.861747535, 938433.4348778214 7446684.861747535, 948433.4348778214 7446684.861747535))",DSG
72,"POLYGON ((948433.4348778214 7456684.861747535, 948433.4348778214 7466684.861747535, 938433.4348778214 7466684.861747535, 938433.4348778214 7456684.861747535, 948433.4348778214 7456684.861747535))",MSG
73,"POLYGON ((948433.4348778214 7466684.861747535, 948433.4348778214 7476684.861747535, 938433.4348778214 7476684.861747535, 938433.4348778214 7466684.861747535, 948433.4348778214 7466684.861747535))",DSG
74,"POLYGON ((948433.4348778214 7476684.861747535, 948433.4348778214 7486684.861747535, 938433.4348778214 7486684.861747535, 938433.4348778214 7476684.861747535, 948433.4348778214 7476684.861747535))",T
75,"POLYGON ((948433.4348778214 7486684.861747535, 948433.4348778214 7496684.861747535, 938433.4348778214 7496684.861747535, 938433.4348778214 7486684.861747535, 948433.4348778214 7486684.861747535))",DSG
76,"POLYGON ((948433.4348778214 7496684.861747535, 948433.4348778214 7506684.861747535, 938433.4348778214 7506684.861747535, 938433.4348778214 7496684.861747535, 948433.4348778214 7496684.861747535))",DSG
77,"POLYGON ((948433.4348778214 7506684.861747535, 948433.4348778214 7516684.861747535, 938433.4348778214 7516684.861747535, 938433.4348778214 7506684.861747535, 948433.4348778214 7506684.861747535))",DSG
78,"POLYGON ((948433.4348778214 7516684.861747535, 948433.4348778214 7526684.861747535, 938433.4348778214 7526684.861747535, 938433.4348778214 7516684.861747535, 948433.4348778214 7516684.861747535))",DSG
79,"POLYGON ((948433.4348778214 7526684.861747535, 948433.4348778214 7536684.861747535, 938433.4348778214 7536684.861747535, 938433.4348778214 7526684.861747535, 948433.4348778214 7526684.861747535))",MSG
80,"POLYGON ((948433.4348778214 7536684.861747535, 948433.4348778214 7546684.861747535, 938433.4348778214 7546684.861747535, 938433.4348778214 7536684.861747535, 948433.4348778214 7536684.861747535))",F
81,"POLYGON ((948433.4348778214 7546684.861747535, 948433.4348778214 7556684.861747535, 938433.4348778214 7556684.861747535, 938433.4348778214 7546684.861747535, 948433.4348778214 7546684.861747535))",T
82,"POLYGON ((948433.4348778214 7556684.861747535, 948433.4348778214 7566684.861747535, 938433.4348778214 7566684.861747535, 938433.4348778214 7556684.861747535, 948433.4348778214 7556684.861747535))",MSG
83,"POLYGON ((948433.4348778214 7566684.861747535, 948433.4348778214 7576684.861747535, 938433.4348778214 7576684.861747535, 938433.4348778214 7566684.861747535, 948433.4348778214 7566684.861747535))",DSG
84,"POLYGON ((948433.4348778214 7576684.861747535, 948433.4348778214 7586684.861747535, 938433.4348778214 7586684.861747535, 938433.4348778214 7576684.861747535, 948433.4348778214 7576684.861747535))",DSG
85,"POLYGON ((948433.4348778214 7586684.861747535, 948433.4348778214 7596684.861747535, 938433.4348778214 7596684.861747535, 938433.4348778214 7586684.861747535, 948433.4348778214 7586684.861747535))",MSG
86,"POLYGON ((948433.4348778214 7596684.861747535, 948433.4348778214 7606684.861747535, 938433.4348778214 7606684.861747535, 938433.4348778214 7596684.861747535, 948433.4348778214 7596684.861747535))",DSG
87,"POLYGON ((948433.4348778214 7606684.861747535, 948433.4348778214 7616684.861747535, 938433.4348778214 7616684.861747535, 938433.4348778214 7606684.861747535, 948433.4348778214 7606684.861747535))",DSG
88,"POLYGON ((948433.4348778214 7616684.861747535, 948433.4348778214 7626684.861747535, 938433.4348778214 7626684.861747535, 938433.4348778214 7616684.861747535, 948433.4348778214 7616684.861747535))",DSG
89,"POLYGON ((948433.4348778214 7626684.861747535, 948433.4348778214 7636684.861747535, 938433.4348778214 7636684.861747535, 938433.4348778214 7626684.861747535, 948433.4348778214 7626684.861747535))",T
90,"POLYGON ((948433.4348778214 7636684.861747535, 948433.4348778214 7646684.861747535, 938433.4348778214 7646684.861747535, 938433.4348778214 7636684.861747535, 948433.4348778214 7636684.861747535))",DSG
91,"POLYGON ((948433.4348778214 7646684.861747535, 948433.4348778214 7656684.861747535, 938433.4348778214 7656684.861747535, 938433.4348778214 7646684.861747535, 948433.4348778214 7646684.861747535))",T
92,"POLYGON ((948433.4348778214 7656684.861747535, 948433.4348778214 7666684.861747535, 938433.4348778214 7666684.861747535, 938433.4348778214 7656684.861747535, 948433.4348778214 7656684.861747535))",DSG
93,"POLYGON ((948433.4348778214 7686684.861747535, 948433.4348778214 7696684.861747535, 938433.4348778214 7696684.861747535, 938433.4348778214 7686684.861747535, 948433.4348778214 7686684.861747535))",ML
94,"POLYGON ((948433.4348778214 7696684.861747535, 948433.4348778214 7706684.861747535, 938433.4348778214 7706684.861747535, 938433.4348778214 7696684.861747535, 948433.4348778214 7696684.861747535))",ML
95,"POLYGON ((948433.4348778214 7706684.861747535, 948433.4348778214 7716684.861747535, 938433.4348778214 7716684.861747535, 938433.4348778214 7706684.861747535, 948433.4348778214 7706684.861747535))",ML
96,"POLYGON ((948433.4348778214 7716684.861747535, 948433.4348778214 7726684.861747535, 938433.4348778214 7726684.861747535, 938433.4348778214 7716684.861747535, 948433.4348778214 7716684.861747535))",ML
97,"POLYGON ((948433.4348778214 7726684.861747535, 948433.4348778214 7736684.861747535, 938433.4348778214 7736684.861747535, 938433.4348778214 7726684.861747535, 948433.4348778214 7726684.861747535))",ML
98,"POLYGON ((948433.4348778214 7736684.861747535, 948433.4348778214 7746684.861747535, 938433.4348778214 7746684.861747535, 938433.4348778214 7736684.861747535, 948433.4348778214 7736684.861747535))",DSG
99,"POLYGON ((948433.4348778214 7746684.861747535, 948433.4348778214 7756684.861747535, 938433.4348778214 7756684.861747535, 938433.4348778214 7746684.861747535, 948433.4348778214 7746684.861747535))",ES
100,"POLYGON ((948433.4348778214 7756684.861747535, 948433.4348778214 7766684.861747535, 938433.4348778214 7766684.861747535, 938433.4348778214 7756684.861747535, 948433.4348778214 7756684.861747535))",ML
101,"POLYGON ((958433.4348778214 7386684.861747535, 958433.4348778214 7396684.861747535, 948433.4348778214 7396684.861747535, 948433.4348778214 7386684.861747535, 958433.4348778214 7386684.861747535))",HV
102,"POLYGON ((958433.4348778214 7446684.861747535, 958433.4348778214 7456684.861747535, 948433.4348778214 7456684.861747535, 948433.4348778214 7446684.861747535, 958433.4348778214 7446684.861747535))",DSG
103,"POLYGON ((958433.4348778214 7456684.861747535, 958433.4348778214 7466684.861747535, 948433.4348778214 7466684.861747535, 948433.4348778214 7456684.861747535, 958433.4348778214 7456684.861747535))",MSG
104,"POLYGON ((958433.4348778214 7466684.861747535, 958433.4348778214 7476684.861747535, 948433.4348778214 7476684.861747535, 948433.4348778214 7466684.861747535, 958433.4348778214 7466684.861747535))",DSG
105,"POLYGON ((958433.4348778214 7476684.861747535, 958433.4348778214 7486684.861747535, 948433.4348778214 7486684.861747535, 948433.4348778214 7476684.861747535, 958433.4348778214 7476684.861747535))",DSG
106,"POLYGON ((958433.4348778214 7486684.861747535, 958433.4348778214 7496684.861747535, 948433.4348778214 7496684.861747535, 948433.4348778214 7486684.861747535, 958433.4348778214 7486684.861747535))",T
107,"POLYGON ((958433.4348778214 7496684.861747535, 958433.4348778214 7506684.861747535, 948433.4348778214 7506684.861747535, 948433.4348778214 7496684.861747535, 958433.4348778214 7496684.861747535))",DSG
108,"POLYGON ((958433.4348778214 7506684.861747535, 958433.4348778214 7516684.861747535, 948433.4348778214 7516684.861747535, 948433.4348778214 7506684.861747535, 958433.4348778214 7506684.861747535))",DSG
109,"POLYGON ((958433.4348778214 7516684.861747535, 958433.4348778214 7526684.861747535, 948433.4348778214 7526684.861747535, 948433.4348778214 7516684.861747535, 958433.4348778214 7516684.861747535))",MSG
110,"POLYGON ((958433.4348778214 7526684.861747535, 958433.4348778214 7536684.861747535, 948433.4348778214 7536684.861747535, 948433.4348778214 7526684.861747535, 958433.4348778214 7526684.861747535))",DSG
111,"POLYGON ((958433.4348778214 7536684.861747535, 958433.4348778214 7546684.861747535, 948433.4348778214 7546684.861747535, 948433.4348778214 7536684.861747535, 958433.4348778214 7536684.861747535))",DSG
112,"POLYGON ((958433.4348778214 7546684.861747535, 958433.4348778214 7556684.861747535, 948433.4348778214 7556684.861747535, 948433.4348778214 7546684.861747535, 958433.4348778214 7546684.861747535))",T
113,"POLYGON ((958433.4348778214 7556684.861747535, 958433.4348778214 7566684.861747535, 948433.4348778214 7566684.861747535, 948433.4348778214 7556684.861747535, 958433.4348778214 7556684.861747535))",MSG
114,"POLYGON ((958433.4348778214 7566684.861747535, 958433.4348778214 7576684.861747535, 948433.4348778214 7576684.861747535, 948433.4348778214 7566684.861747535, 958433.4348778214 7566684.861747535))",DSG
115,"POLYGON ((958433.4348778214 7576684.861747535, 958433.4348778214 7586684.861747535, 948433.4348778214 7586684.861747535, 948433.4348778214 7576684.861747535, 958433.4348778214 7576684.861747535))",DSG
116,"POLYGON ((958433.4348778214 7586684.861747535, 958433.4348778214 7596684.861747535, 948433.4348778214 7596684.861747535, 948433.4348778214 7586684.861747535, 958433.4348778214 7586684.861747535))",DSG
117,"POLYGON ((958433.4348778214 7596684.861747535, 958433.4348778214 7606684.861747535, 948433.4348778214 7606684.861747535, 948433.4348778214 7596684.861747535, 958433.4348778214 7596684.861747535))",MSG
118,"POLYGON ((958433.4348778214 7606684.861747535, 958433.4348778214 7616684.861747535, 948433.4348778214 7616684.861747535, 948433.4348778214 7606684.861747535, 958433.4348778214 7606684.861747535))",DSG
119,"POLYGON ((958433.4348778214 7616684.861747535, 958433.4348778214 7626684.861747535, 948433.4348778214 7626684.861747535, 948433.4348778214 7616684.861747535, 958433.4348778214 7616684.861747535))",DSG
120,"POLYGON ((958433.4348778214 7626684.861747535, 958433.4348778214 7636684.861747535, 948433.4348778214 7636684.861747535, 948433.4348778214 7626684.861747535, 958433.4348778214 7626684.861747535))",T
121,"POLYGON ((958433.4348778214 7636684.861747535, 958433.4348778214 7646684.861747535, 948433.4348778214 7646684.861747535, 948433.4348778214 7636684.861747535, 958433.4348778214 7636684.861747535))",ML
122,"POLYGON ((958433.4348778214 7646684.861747535, 958433.4348778214 7656684.861747535, 948433.4348778214 7656684.861747535, 948433.4348778214 7646684.861747535, 958433.4348778214 7646684.861747535))",ML
123,"POLYGON ((958433.4348778214 7656684.861747535, 958433.4348778214 7666684.861747535, 948433.4348778214 7666684.861747535, 948433.4348778214 7656684.861747535, 958433.4348778214 7656684.861747535))",DSG
124,"POLYGON ((958433.4348778214 7666684.861747535, 958433.4348778214 7676684.861747535, 948433.4348778214 7676684.861747535, 948433.4348778214 7666684.861747535, 958433.4348778214 7666684.861747535))",HSL
125,"POLYGON ((958433.4348778214 7676684.861747535, 958433.4348778214 7686684.861747535, 948433.4348778214 7686684.861747535, 948433.4348778214 7676684.861747535, 958433.4348778214 7676684.861747535))",ML
126,"POLYGON ((958433.4348778214 7686684.861747535, 958433.4348778214 7696684.861747535, 948433.4348778214 7696684.861747535, 948433.4348778214 7686684.861747535, 958433.4348778214 7686684.861747535))",ML
127,"POLYGON ((958433.4348778214 7696684.861747535, 958433.4348778214 7706684.861747535, 948433.4348778214 7706684.861747535, 948433.4348778214 7696684.861747535, 958433.4348778214 7696684.861747535))",ML
128,"POLYGON ((958433.4348778214 7706684.861747535, 958433.4348778214 7716684.861747535, 948433.4348778214 7716684.861747535, 948433.4348778214 7706684.861747535, 958433.4348778214 7706684.861747535))",HSL
129,"POLYGON ((958433.4348778214 7726684.861747535, 958433.4348778214 7736684.861747535, 948433.4348778214 7736684.861747535, 948433.4348778214 7726684.861747535, 958433.4348778214 7726684.861747535))",ML
130,"POLYGON ((958433.4348778214 7736684.861747535, 958433.4348778214 7746684.861747535, 948433.4348778214 7746684.861747535, 948433.4348778214 7736684.861747535, 958433.4348778214 7736684.861747535))",DSG
131,"POLYGON ((958433.4348778214 7746684.861747535, 958433.4348778214 7756684.861747535, 948433.4348778214 7756684.861747535, 948433.4348778214 7746684.861747535, 958433.4348778214 7746684.861747535))",MSG
132,"POLYGON ((958433.4348778214 7756684.861747535, 958433.4348778214 7766684.861747535, 948433.4348778214 7766684.861747535, 948433.4348778214 7756684.861747535, 958433.4348778214 7756684.861747535))",SØ
133,"POLYGON ((958433.4348778214 7766684.861747535, 958433.4348778214 7776684.861747535, 948433.4348778214 7776684.861747535, 948433.4348778214 7766684.861747535, 958433.4348778214 7766684.861747535))",ES
134,"POLYGON ((968433.4348778214 7346684.861747535, 968433.4348778214 7356684.861747535, 958433.4348778214 7356684.861747535, 958433.4348778214 7346684.861747535, 968433.4348778214 7346684.861747535))",HV
135,"POLYGON ((968433.4348778214 7356684.861747535, 968433.4348778214 7366684.861747535, 958433.4348778214 7366684.861747535, 958433.4348778214 7356684.861747535, 968433.4348778214 7356684.861747535))",ML
136,"POLYGON ((968433.4348778214 7366684.861747535, 968433.4348778214 7376684.861747535, 958433.4348778214 7376684.861747535, 958433.4348778214 7366684.861747535, 968433.4348778214 7366684.861747535))",DSG
137,"POLYGON ((968433.4348778214 7436684.861747535, 968433.4348778214 7446684.861747535, 958433.4348778214 7446684.861747535, 958433.4348778214 7436684.861747535, 968433.4348778214 7436684.861747535))",HV
138,"POLYGON ((968433.4348778214 7446684.861747535, 968433.4348778214 7456684.861747535, 958433.4348778214 7456684.861747535, 958433.4348778214 7446684.861747535, 968433.4348778214 7446684.861747535))",T
139,"POLYGON ((968433.4348778214 7456684.861747535, 968433.4348778214 7466684.861747535, 958433.4348778214 7466684.861747535, 958433.4348778214 7456684.861747535, 968433.4348778214 7456684.861747535))",F
140,"POLYGON ((968433.4348778214 7466684.861747535, 968433.4348778214 7476684.861747535, 958433.4348778214 7476684.861747535, 958433.4348778214 7466684.861747535, 968433.4348778214 7466684.861747535))",DSG
141,"POLYGON ((968433.4348778214 7476684.861747535, 968433.4348778214 7486684.861747535, 958433.4348778214 7486684.861747535, 958433.4348778214 7476684.861747535, 968433.4348778214 7476684.861747535))",DSG
