,geometry
33,"POLYGON ((1068433.434877821 7676684.861747535, 1068433.434877821 7686684.861747535, 1058433.434877821 7686684.861747535, 1058433.434877821 7676684.861747535, 1068433.434877821 7676684.861747535))"
34,"POLYGON ((1108433.434877821 7856684.861747535, 1108433.434877821 7866684.861747535, 1098433.434877821 7866684.861747535, 1098433.434877821 7856684.861747535, 1108433.434877821 7856684.861747535))"
35,"POLYGON ((1158433.434877821 7626684.861747535, 1158433.434877821 7636684.861747535, 1148433.434877821 7636684.861747535, 1148433.434877821 7626684.861747535, 1158433.434877821 7626684.861747535))"
36,"POLYGON ((1068433.434877821 7336684.861747535, 1068433.434877821 7346684.861747535, 1058433.434877821 7346684.861747535, 1058433.434877821 7336684.861747535, 1068433.434877821 7336684.861747535))"
37,"POLYGON ((1058433.434877821 7546684.861747535, 1058433.434877821 7556684.861747535, 1048433.434877821 7556684.861747535, 1048433.434877821 7546684.861747535, 1058433.434877821 7546684.861747535))"
38,"POLYGON ((948433.4348778214 7506684.861747535, 948433.4348778214 7516684.861747535, 938433.4348778214 7516684.861747535, 938433.4348778214 7506684.861747535, 948433.4348778214 7506684.861747535))"
39,"POLYGON ((1258433.434877821 7446684.861747535, 1258433.434877821 7456684.861747535, 1248433.434877821 7456684.861747535, 1248433.434877821 7446684.861747535, 1258433.434877821 7446684.861747535))"
40,"POLYGON ((918433.4348778214 7686684.861747535, 918433.4348778214 7696684.861747535, 908433.4348778214 7696684.861747535, 908433.4348778214 7686684.861747535, 918433.4348778214 7686684.861747535))"
41,"POLYGON ((1018433.434877821 7596684.861747535, 1018433.434877821 7606684.861747535, 1008433.434877821 7606684.861747535, 1008433.434877821 7596684.861747535, 1018433.434877821 7596684.861747535))"
42,"POLYGON ((908433.4348778214 7546684.861747535, 908433.4348778214 7556684.861747535, 898433.4348778214 7556684.861747535, 898433.4348778214 7546684.861747535, 908433.4348778214 7546684.861747535))"
43,"POLYGON ((1118433.434877821 7796684.861747535, 1118433.434877821 7806684.861747535, 1108433.434877821 7806684.861747535, 1108433.434877821 7796684.861747535, 1118433.434877821 7796684.861747535))"
44,"POLYGON ((1078433.434877821 7706684.861747535, 1078433.434877821 7716684.861747535, 1068433.434877821 7716684.861747535, 1068433.434877821 7706684.861747535, 1078433.434877821 7706684.861747535))"
45,"POLYGON ((1068433.434877821 7806684.861747535, 1068433.434877821 7816684.861747535, 1058433.434877821 7816684.861747535, 1058433.434877821 7806684.861747535, 1068433.434877821 7806684.861747535))"
46,"POLYGON ((1058433.434877821 7716684.861747535, 1058433.434877821 7726684.861747535, 1048433.434877821 7726684.861747535, 1048433.434877821 7716684.861747535, 1058433.434877821 7716684.861747535))"
47,"POLYGON ((908433.4348778214 7556684.861747535, 908433.4348778214 7566684.861747535, 898433.4348778214 7566684.861747535, 898433.4348778214 7556684.861747535, 908433.4348778214 7556684.861747535))"
48,"POLYGON ((1198433.434877821 7356684.861747535, 1198433.434877821 7366684.861747535, 1188433.434877821 7366684.861747535, 1188433.434877821 7356684.861747535, 1198433.434877821 7356684.861747535))"
49,"POLYGON ((1098433.434877821 7626684.861747535, 1098433.434877821 7636684.861747535, 1088433.434877821 7636684.861747535, 1088433.434877821 7626684.861747535, 1098433.434877821 7626684.861747535))"
50,"POLYGON ((1178433.434877821 7356684.861747535, 1178433.434877821 7366684.861747535, 1168433.434877821 7366684.861747535, 1168433.434877821 7356684.861747535, 1178433.434877821 7356684.861747535))"
51,"POLYGON ((1028433.434877821 7366684.861747535, 1028433.434877821 7376684.861747535, 1018433.434877821 7376684.861747535, 1018433.434877821 7366684.861747535, 1028433.434877821 7366684.861747535))"
52,"POLYGON ((1038433.434877821 7686684.861747535, 1038433.434877821 7696684.861747535, 1028433.434877821 7696684.861747535, 1028433.434877821 7686684.861747535, 1038433.434877821 7686684.861747535))"
53,"POLYGON ((1068433.434877821 7566684.861747535, 1068433.434877821 7576684.861747535, 1058433.434877821 7576684.861747535, 1058433.434877821 7566684.861747535, 1068433.434877821 7566684.861747535))"
54,"POLYGON ((958433.4348778214 7566684.861747535, 958433.4348778214 7576684.861747535, 948433.4348778214 7576684.861747535, 948433.4348778214 7566684.861747535, 958433.4348778214 7566684.861747535))"
55,"POLYGON ((968433.4348778214 7576684.861747535, 968433.4348778214 7586684.861747535, 958433.4348778214 7586684.861747535, 958433.4348778214 7576684.861747535, 968433.4348778214 7576684.861747535))"
56,"POLYGON ((1078433.434877821 7716684.861747535, 1078433.434877821 7726684.861747535, 1068433.434877821 7726684.861747535, 1068433.434877821 7716684.861747535, 1078433.434877821 7716684.861747535))"
57,"POLYGON ((1008433.434877821 7346684.861747535, 1008433.434877821 7356684.861747535, 998433.4348778214 7356684.861747535, 998433.4348778214 7346684.861747535, 1008433.434877821 7346684.861747535))"
58,"POLYGON ((1128433.434877821 7856684.861747535, 1128433.434877821 7866684.861747535, 1118433.434877821 7866684.861747535, 1118433.434877821 7856684.861747535, 1128433.434877821 7856684.861747535))"
59,"POLYGON ((978433.4348778214 7646684.861747535, 978433.4348778214 7656684.861747535, 968433.4348778214 7656684.861747535, 968433.4348778214 7646684.861747535, 978433.4348778214 7646684.861747535))"
60,"POLYGON ((1198433.434877821 7326684.861747535, 1198433.434877821 7336684.861747535, 1188433.434877821 7336684.861747535, 1188433.434877821 7326684.861747535, 1198433.434877821 7326684.861747535))"
61,"POLYGON ((1048433.434877821 7596684.861747535, 1048433.434877821 7606684.861747535, 1038433.434877821 7606684.861747535, 1038433.434877821 7596684.861747535, 1048433.434877821 7596684.861747535))"
62,"POLYGON ((908433.4348778214 7576684.861747535, 908433.4348778214 7586684.861747535, 898433.4348778214 7586684.861747535, 898433.4348778214 7576684.861747535, 908433.4348778214 7576684.861747535))"
63,"POLYGON ((1108433.434877821 7646684.861747535, 1108433.434877821 7656684.861747535, 1098433.434877821 7656684.861747535, 1098433.434877821 7646684.861747535, 1108433.434877821 7646684.861747535))"
64,"POLYGON ((1268433.434877821 7416684.861747535, 1268433.434877821 7426684.861747535, 1258433.434877821 7426684.861747535, 1258433.434877821 7416684.861747535, 1268433.434877821 7416684.861747535))"
65,"POLYGON ((1078433.434877821 7336684.861747535, 1078433.434877821 7346684.861747535, 1068433.434877821 7346684.861747535, 1068433.434877821 7336684.861747535, 1078433.434877821 7336684.861747535))"
66,"POLYGON ((1088433.434877821 7846684.861747535, 1088433.434877821 7856684.861747535, 1078433.434877821 7856684.861747535, 1078433.434877821 7846684.861747535, 1088433.434877821 7846684.861747535))"
67,"POLYGON ((1048433.434877821 7736684.861747535, 1048433.434877821 7746684.861747535, 1038433.434877821 7746684.861747535, 1038433.434877821 7736684.861747535, 1048433.434877821 7736684.861747535))"
68,"POLYGON ((1138433.434877821 7846684.861747535, 1138433.434877821 7856684.861747535, 1128433.434877821 7856684.861747535, 1128433.434877821 7846684.861747535, 1138433.434877821 7846684.861747535))"
