,geometry
0,"POLYGON ((1068433.434877821 7436684.861747535, 1068433.434877821 7446684.861747535, 1058433.434877821 7446684.861747535, 1058433.434877821 7436684.861747535, 1068433.434877821 7436684.861747535))"
1,"POLYGON ((1138433.434877821 7436684.861747535, 1138433.434877821 7446684.861747535, 1128433.434877821 7446684.861747535, 1128433.434877821 7436684.861747535, 1138433.434877821 7436684.861747535))"
2,"POLYGON ((1408433.434877821 7556684.861747535, 1408433.434877821 7566684.861747535, 1398433.434877821 7566684.861747535, 1398433.434877821 7556684.861747535, 1408433.434877821 7556684.861747535))"
3,"POLYGON ((1138433.434877821 7396684.861747535, 1138433.434877821 7406684.861747535, 1128433.434877821 7406684.861747535, 1128433.434877821 7396684.861747535, 1138433.434877821 7396684.861747535))"
4,"POLYGON ((1318433.434877821 7366684.861747535, 1318433.434877821 7376684.861747535, 1308433.434877821 7376684.861747535, 1308433.434877821 7366684.861747535, 1318433.434877821 7366684.861747535))"
5,"POLYGON ((1128433.434877821 7636684.861747535, 1128433.434877821 7646684.861747535, 1118433.434877821 7646684.861747535, 1118433.434877821 7636684.861747535, 1128433.434877821 7636684.861747535))"
6,"POLYGON ((1398433.434877821 7516684.861747535, 1398433.434877821 7526684.861747535, 1388433.434877821 7526684.861747535, 1388433.434877821 7516684.861747535, 1398433.434877821 7516684.861747535))"
7,"POLYGON ((1348433.434877821 7446684.861747535, 1348433.434877821 7456684.861747535, 1338433.434877821 7456684.861747535, 1338433.434877821 7446684.861747535, 1348433.434877821 7446684.861747535))"
8,"POLYGON ((1348433.434877821 7336684.861747535, 1348433.434877821 7346684.861747535, 1338433.434877821 7346684.861747535, 1338433.434877821 7336684.861747535, 1348433.434877821 7336684.861747535))"
9,"POLYGON ((1328433.434877821 7296684.861747535, 1328433.434877821 7306684.861747535, 1318433.434877821 7306684.861747535, 1318433.434877821 7296684.861747535, 1328433.434877821 7296684.861747535))"
10,"POLYGON ((1088433.434877821 7476684.861747535, 1088433.434877821 7486684.861747535, 1078433.434877821 7486684.861747535, 1078433.434877821 7476684.861747535, 1088433.434877821 7476684.861747535))"
11,"POLYGON ((1158433.434877821 7476684.861747535, 1158433.434877821 7486684.861747535, 1148433.434877821 7486684.861747535, 1148433.434877821 7476684.861747535, 1158433.434877821 7476684.861747535))"
12,"POLYGON ((1038433.434877821 7486684.861747535, 1038433.434877821 7496684.861747535, 1028433.434877821 7496684.861747535, 1028433.434877821 7486684.861747535, 1038433.434877821 7486684.861747535))"
13,"POLYGON ((1008433.434877821 7356684.861747535, 1008433.434877821 7366684.861747535, 998433.4348778214 7366684.861747535, 998433.4348778214 7356684.861747535, 1008433.434877821 7356684.861747535))"
14,"POLYGON ((1148433.434877821 7576684.861747535, 1148433.434877821 7586684.861747535, 1138433.434877821 7586684.861747535, 1138433.434877821 7576684.861747535, 1148433.434877821 7576684.861747535))"
15,"POLYGON ((1378433.434877821 7416684.861747535, 1378433.434877821 7426684.861747535, 1368433.434877821 7426684.861747535, 1368433.434877821 7416684.861747535, 1378433.434877821 7416684.861747535))"
16,"POLYGON ((1298433.434877821 7306684.861747535, 1298433.434877821 7316684.861747535, 1288433.434877821 7316684.861747535, 1288433.434877821 7306684.861747535, 1298433.434877821 7306684.861747535))"
17,"POLYGON ((1268433.434877821 7486684.861747535, 1268433.434877821 7496684.861747535, 1258433.434877821 7496684.861747535, 1258433.434877821 7486684.861747535, 1268433.434877821 7486684.861747535))"
18,"POLYGON ((1048433.434877821 7496684.861747535, 1048433.434877821 7506684.861747535, 1038433.434877821 7506684.861747535, 1038433.434877821 7496684.861747535, 1048433.434877821 7496684.861747535))"
19,"POLYGON ((1258433.434877821 7416684.861747535, 1258433.434877821 7426684.861747535, 1248433.434877821 7426684.861747535, 1248433.434877821 7416684.861747535, 1258433.434877821 7416684.861747535))"
20,"POLYGON ((1678433.434877821 7396684.861747535, 1678433.434877821 7406684.861747535, 1668433.434877821 7406684.861747535, 1668433.434877821 7396684.861747535, 1678433.434877821 7396684.861747535))"
21,"POLYGON ((1078433.434877821 7406684.861747535, 1078433.434877821 7416684.861747535, 1068433.434877821 7416684.861747535, 1068433.434877821 7406684.861747535, 1078433.434877821 7406684.861747535))"
22,"POLYGON ((1378433.434877821 7516684.861747535, 1378433.434877821 7526684.861747535, 1368433.434877821 7526684.861747535, 1368433.434877821 7516684.861747535, 1378433.434877821 7516684.861747535))"
23,"POLYGON ((1398433.434877821 7536684.861747535, 1398433.434877821 7546684.861747535, 1388433.434877821 7546684.861747535, 1388433.434877821 7536684.861747535, 1398433.434877821 7536684.861747535))"
24,"POLYGON ((1098433.434877821 7726684.861747535, 1098433.434877821 7736684.861747535, 1088433.434877821 7736684.861747535, 1088433.434877821 7726684.861747535, 1098433.434877821 7726684.861747535))"
25,"POLYGON ((1108433.434877821 7506684.861747535, 1108433.434877821 7516684.861747535, 1098433.434877821 7516684.861747535, 1098433.434877821 7506684.861747535, 1108433.434877821 7506684.861747535))"
26,"POLYGON ((1188433.434877821 7316684.861747535, 1188433.434877821 7326684.861747535, 1178433.434877821 7326684.861747535, 1178433.434877821 7316684.861747535, 1188433.434877821 7316684.861747535))"
27,"POLYGON ((1338433.434877821 7506684.861747535, 1338433.434877821 7516684.861747535, 1328433.434877821 7516684.861747535, 1328433.434877821 7506684.861747535, 1338433.434877821 7506684.861747535))"
28,"POLYGON ((1238433.434877821 7316684.861747535, 1238433.434877821 7326684.861747535, 1228433.434877821 7326684.861747535, 1228433.434877821 7316684.861747535, 1238433.434877821 7316684.861747535))"
29,"POLYGON ((1048433.434877821 7406684.861747535, 1048433.434877821 7416684.861747535, 1038433.434877821 7416684.861747535, 1038433.434877821 7406684.861747535, 1048433.434877821 7406684.861747535))"
30,"POLYGON ((1058433.434877821 7366684.861747535, 1058433.434877821 7376684.861747535, 1048433.434877821 7376684.861747535, 1048433.434877821 7366684.861747535, 1058433.434877821 7366684.861747535))"
31,"POLYGON ((1318433.434877821 7456684.861747535, 1318433.434877821 7466684.861747535, 1308433.434877821 7466684.861747535, 1308433.434877821 7456684.861747535, 1318433.434877821 7456684.861747535))"
32,"POLYGON ((1368433.434877821 7526684.861747535, 1368433.434877821 7536684.861747535, 1358433.434877821 7536684.861747535, 1358433.434877821 7526684.861747535, 1368433.434877821 7526684.861747535))"
33,"POLYGON ((1198433.434877821 7616684.861747535, 1198433.434877821 7626684.861747535, 1188433.434877821 7626684.861747535, 1188433.434877821 7616684.861747535, 1198433.434877821 7616684.861747535))"
34,"POLYGON ((1188433.434877821 7656684.861747535, 1188433.434877821 7666684.861747535, 1178433.434877821 7666684.861747535, 1178433.434877821 7656684.861747535, 1188433.434877821 7656684.861747535))"
35,"POLYGON ((1188433.434877821 7386684.861747535, 1188433.434877821 7396684.861747535, 1178433.434877821 7396684.861747535, 1178433.434877821 7386684.861747535, 1188433.434877821 7386684.861747535))"
36,"POLYGON ((1378433.434877821 7476684.861747535, 1378433.434877821 7486684.861747535, 1368433.434877821 7486684.861747535, 1368433.434877821 7476684.861747535, 1378433.434877821 7476684.861747535))"
37,"POLYGON ((1198433.434877821 7346684.861747535, 1198433.434877821 7356684.861747535, 1188433.434877821 7356684.861747535, 1188433.434877821 7346684.861747535, 1198433.434877821 7346684.861747535))"
38,"POLYGON ((1088433.434877821 7456684.861747535, 1088433.434877821 7466684.861747535, 1078433.434877821 7466684.861747535, 1078433.434877821 7456684.861747535, 1088433.434877821 7456684.861747535))"
39,"POLYGON ((1128433.434877821 7646684.861747535, 1128433.434877821 7656684.861747535, 1118433.434877821 7656684.861747535, 1118433.434877821 7646684.861747535, 1128433.434877821 7646684.861747535))"
40,"POLYGON ((1388433.434877821 7536684.861747535, 1388433.434877821 7546684.861747535, 1378433.434877821 7546684.861747535, 1378433.434877821 7536684.861747535, 1388433.434877821 7536684.861747535))"
41,"POLYGON ((1098433.434877821 7516684.861747535, 1098433.434877821 7526684.861747535, 1088433.434877821 7526684.861747535, 1088433.434877821 7516684.861747535, 1098433.434877821 7516684.861747535))"
42,"POLYGON ((1678433.434877821 7376684.861747535, 1678433.434877821 7386684.861747535, 1668433.434877821 7386684.861747535, 1668433.434877821 7376684.861747535, 1678433.434877821 7376684.861747535))"
43,"POLYGON ((1008433.434877821 7666684.861747535, 1008433.434877821 7676684.861747535, 998433.4348778214 7676684.861747535, 998433.4348778214 7666684.861747535, 1008433.434877821 7666684.861747535))"
44,"POLYGON ((1368433.434877821 7366684.861747535, 1368433.434877821 7376684.861747535, 1358433.434877821 7376684.861747535, 1358433.434877821 7366684.861747535, 1368433.434877821 7366684.861747535))"
45,"POLYGON ((1088433.434877821 7336684.861747535, 1088433.434877821 7346684.861747535, 1078433.434877821 7346684.861747535, 1078433.434877821 7336684.861747535, 1088433.434877821 7336684.861747535))"
46,"POLYGON ((1098433.434877821 7526684.861747535, 1098433.434877821 7536684.861747535, 1088433.434877821 7536684.861747535, 1088433.434877821 7526684.861747535, 1098433.434877821 7526684.861747535))"
47,"POLYGON ((1118433.434877821 7686684.861747535, 1118433.434877821 7696684.861747535, 1108433.434877821 7696684.861747535, 1108433.434877821 7686684.861747535, 1118433.434877821 7686684.861747535))"
48,"POLYGON ((1098433.434877821 7436684.861747535, 1098433.434877821 7446684.861747535, 1088433.434877821 7446684.861747535, 1088433.434877821 7436684.861747535, 1098433.434877821 7436684.861747535))"
49,"POLYGON ((1288433.434877821 7416684.861747535, 1288433.434877821 7426684.861747535, 1278433.434877821 7426684.861747535, 1278433.434877821 7416684.861747535, 1288433.434877821 7416684.861747535))"
50,"POLYGON ((1168433.434877821 7396684.861747535, 1168433.434877821 7406684.861747535, 1158433.434877821 7406684.861747535, 1158433.434877821 7396684.861747535, 1168433.434877821 7396684.861747535))"
51,"POLYGON ((1298433.434877821 7456684.861747535, 1298433.434877821 7466684.861747535, 1288433.434877821 7466684.861747535, 1288433.434877821 7456684.861747535, 1298433.434877821 7456684.861747535))"
52,"POLYGON ((1318433.434877821 7326684.861747535, 1318433.434877821 7336684.861747535, 1308433.434877821 7336684.861747535, 1308433.434877821 7326684.861747535, 1318433.434877821 7326684.861747535))"
53,"POLYGON ((1108433.434877821 7436684.861747535, 1108433.434877821 7446684.861747535, 1098433.434877821 7446684.861747535, 1098433.434877821 7436684.861747535, 1108433.434877821 7436684.861747535))"
